"","archetype","placement","player","deck_id","deck_cost","slug","archetype_encoding","archetype_power_level"
"102","Maliss",2,"Christopher Alvarado De La O","sky-striker-maliss-594709",661.03,"ycs-mexico-city-2972",1,0
"103","Maliss",32,"Daniel Peck","",NA,"ycs-sydney-2783",1,0
"104","Maliss",28,"Damien Valla","maliss-569956",1054.4,"ycs-birmingham-2704",1,0
"105","Maliss",25,"Richard Mortlock","",NA,"ycs-birmingham-2704",1,0
"106","Maliss",18,"Jeffrey Jones","kashtira-maliss-551581",970.68,"ycs-anaheim-2473",1,0
"107","Maliss",15,"Aditya Dharap","maliss-567569",606.58,"ycs-orlando-2684",1,0
"108","Maliss",26,"Dario Rafael Mendoza Rodriguez","",NA,"ycs-mexico-city-2972",1,0
"109","Maliss",42,"Cameron Waddoups","",NA,"ycs-birmingham-2704",1,0
"110","Maliss",59,"James Valentino","maliss-564581",798.53,"ycs-orlando-2684",1,0
"111","Maliss",31,"Jose Antonio Castillo Aramundiz","",NA,"ycs-buenos-aires-2891",1,0
"112","Maliss",61,"Michael Walters","maliss-565302",792.99,"ycs-orlando-2684",1,0
"113","Maliss",12,"Israel Figueroa","bystial-maliss-588776",643.18,"ycs-houston-2930",1,0
"114","Maliss",14,"Gabriele Villanueva Parasi Jr.","maliss-573465",654.13,"latin-america-remote-duel-ycs-2703",1,0
"115","Maliss",14,"Francisco Osorio Bobadilla","maliss-588842",474.6,"ycs-houston-2930",1,0
"116","Maliss",21,"Joaquin Lichtig ","",NA,"ycs-mexico-city-2972",1,0
"117","Maliss",29,"Julien Kehon","maliss-590122",490.01,"ycs-houston-2930",1,0
"118","Maliss",16,"Ulises Aispuro","maliss-551762",1063.57,"ycs-anaheim-2473",1,0
"119","Maliss",2,"Shanxiao Wan","maliss-571323",964.77,"ycs-birmingham-2704",1,0
"120","Maliss",27,"Franco Massola","bystial-maliss-586342",299.31,"ycs-buenos-aires-2891",1,0
"121","Maliss",45,"Ryan Amassier","",NA,"ycs-birmingham-2704",1,0
"122","Maliss",60,"Jack Stocks","bystial-maliss-571320",679.88,"ycs-birmingham-2704",1,0
"123","Maliss",32,"Alexander Jarvis","maliss-565279",799.31,"ycs-orlando-2684",1,0
"124","Maliss",4,"Oscar Crespo Chugar","maliss-588274",433.94,"ycs-buenos-aires-2891",1,0
"125","Maliss",24,"Hector Josue Orellana","",NA,"ycs-houston-2930",1,0
"126","Maliss",25,"Juan Fernando Casillas Lozano","",NA,"ycs-houston-2930",1,0
"127","Maliss",2,"Andrew Udal","maliss-576495",840.42,"ycs-sydney-2783",1,0
"128","Maliss",52,"Alexandre Petitjean","maliss-572671",993.89,"ycs-birmingham-2704",1,0
"129","Maliss",11,"Michael Gold Jr.","fiendsmith-maliss-565300",989.56,"ycs-orlando-2684",1,0
"130","Maliss",64,"Michael Ehresman","maliss-564443",590.38,"ycs-orlando-2684",1,0
"131","Maliss",59,"Gabriel Soussi","",NA,"ycs-birmingham-2704",1,0
"132","Maliss",31,"Jesse Simnegar","maliss-590122",490.01,"ycs-houston-2930",1,0
"133","Maliss",8,"Brock Dale","maliss-576491",841.32,"ycs-sydney-2783",1,0
"134","Maliss",58,"Bart Ladru","maliss-569197",1068.64,"ycs-birmingham-2704",1,0
"135","Maliss",19,"Ramiro Julian Jimenez","",NA,"ycs-buenos-aires-2891",1,0
"136","Maliss",4,"Jeffrey Jones","maliss-564483",918.71,"ycs-orlando-2684",1,0
"137","Maliss",17,"Brandon Tiago Perez Pelaez","fiendsmith-maliss-586355",612.02,"ycs-buenos-aires-2891",1,0
"138","Maliss",5,"Gabriel Braithwaite","bystial-maliss-567312",539.44,"ycs-orlando-2684",1,0
"139","Maliss",28,"Moisses David Salas Ramones","maliss-569959",596.49,"latin-america-remote-duel-ycs-2703",1,0
"140","Maliss",7,"Taiel Fernandez","maliss-586361",696.63,"ycs-buenos-aires-2891",1,0
"141","Maliss",8,"Francisco Andres Osorio Bobadilla","maliss-586341",483.69,"ycs-buenos-aires-2891",1,0
"142","Maliss",15,"Jarred Randolph","maliss-588844",617.12,"ycs-houston-2930",1,0
"143","Maliss",21,"George Sagris","bystial-maliss-580457",740.3,"ycs-sydney-2783",1,0
"144","Maliss",7,"Christian Agustin","maliss-589340",581.04,"ycs-houston-2930",1,0
"145","Maliss",39,"Jean Perez Alonzo","bystial-maliss-564587",722.6,"ycs-orlando-2684",1,0
"146","Maliss",30,"Oden Chaikin-rush","maliss-567707",569.27,"ycs-birmingham-2704",1,0
"147","Maliss",57,"Minsu Park","maliss-564849",776.31,"ycs-orlando-2684",1,0
"148","Maliss",26,"Lily Mirowski","maliss-551602",851.11,"ycs-anaheim-2473",1,0
"149","Maliss",58,"Richard An","maliss-565911",770,"ycs-orlando-2684",1,0
"150","Maliss",31,"Robert Weathers","maliss-564871",797.01,"ycs-orlando-2684",1,0
"151","Maliss",15,"Sebastian Muralles Quezada","",NA,"latin-america-remote-duel-ycs-2703",1,0
"152","Maliss",7,"Mitchell Martin","kashtira-maliss-552326",889.75,"ycs-anaheim-2473",1,0
"153","Maliss",26,"Alexis Stefano Fabricio Olmedo","",NA,"latin-america-remote-duel-ycs-2703",1,0
"154","Maliss",62,"Andrew Williams","maliss-565228",946.63,"ycs-orlando-2684",1,0
"155","Maliss",6,"Fox Chudleigh","bystial-maliss-576384",861.9,"ycs-sydney-2783",1,0
"156","Maliss",3,"Brandon Joyce","bystial-maliss-577771",653.2,"ycs-sydney-2783",1,0
"157","Maliss",28,"Fernando Daniel Magnotta Speranza","maliss-586248",607.42,"ycs-buenos-aires-2891",1,0
"158","Maliss",30,"Minh Le Pham","maliss-567314",550.75,"ycs-orlando-2684",1,0
"159","Maliss",20,"Jackson Rauch","kashtira-maliss-551406",948.68,"ycs-anaheim-2473",1,0
"160","Maliss",54,"Dan Kiernan","maliss-570356",942.76,"ycs-birmingham-2704",1,0
"161","Maliss",16,"Brennan Sive","",NA,"ycs-sydney-2783",1,0
"162","Maliss",50,"Beau Southern ","maliss-571600",964.96,"ycs-birmingham-2704",1,0
"163","Maliss",32,"Ben Thornton","",NA,"ycs-birmingham-2704",1,0
"164","Maliss",19,"Gabriel Braithwaite","sky-striker-maliss-551621",585.8,"ycs-anaheim-2473",1,0
"165","Maliss",15,"Bodhi Burgess","maliss-576992",531.51,"ycs-sydney-2783",1,0
"166","Memento",1,"Rene Epigmenio Ybarra Trapote","memento-594434",466.26,"ycs-mexico-city-2972",0,0
"167","Memento",4,"Flaminio Rossi","memento-548733",821.97,"ycs-bologna-2407",0,0
"168","Memento",7,"Aaron Felipe Uribe Salazar","fiendsmith-memento-594592",379.31,"ycs-mexico-city-2972",0,0
"169","Memento",10,"Théo D. Ruiz","fiendsmith-memento-568380",729.47,"ycs-birmingham-2704",0,0
"170","Memento",24,"Sven Rebmann","fiendsmith-memento-548438",625.55,"ycs-bologna-2407",0,0
"171","Memento",19,"Omar Eduardo Meraz Saucedo","fiendsmith-memento-595634",605.25,"ycs-mexico-city-2972",0,0
"172","Memento",31,"Anthony Confletti","memento-551620",868.91,"ycs-anaheim-2473",0,0
"173","Memento",12,"Khaled Kbies","fiendsmith-memento-570857",862.16,"ycs-birmingham-2704",0,0
"174","Memento",13,"Arturo Iradier Monsivais Zamora","",NA,"ycs-mexico-city-2972",0,0
"175","Memento",43,"Elle Brennan","goblin-biker-memento-569199",217.55,"ycs-birmingham-2704",0,0
"176","Memento",16,"Leonardo Rosendorn","memento-585997",317.56,"ycs-buenos-aires-2891",0,0
"177","Memento",13,"Davide Giannoccaro","goblin-biker-memento-569193",591.04,"ycs-birmingham-2704",0,0
"178","Memento",17,"Andre Yiu","goblin-biker-memento-576350",412.23,"ycs-sydney-2783",0,0
"179","Memento",47,"Pasha Gandomcar","",NA,"ycs-birmingham-2704",0,0
"180","Memento",32,"Samantha Tyler","memento-544460",358.15,"na-remote-duel-ycs-2385",0,0
"181","Memento",1,"Pascal Manigat","goblin-biker-memento-588729",554.81,"ycs-houston-2930",0,0
"182","Memento",15,"Benjamin Ignacio Munoz Mena","memento-586076",497.94,"ycs-buenos-aires-2891",0,0
"183","Mermail",27,"Kai Rouse","",NA,"ycs-sydney-2783",5,0
"184","Mermail",18,"Brandon Chang","atlantean-mermail-565057",687.07,"ycs-orlando-2684",5,0
"185","Mermail",20,"Matthew Collins","atlantean-mermail-568320",715.03,"ycs-birmingham-2704",5,0
"186","Mermail",5,"Julius Schwarzkopf","atlantean-mermail-548352",1016.97,"ycs-bologna-2407",5,0
"187","Mermail",4,"Nils Svensson","atlantean-mermail-568694",886.18,"ycs-birmingham-2704",5,0
"188","Mermail",22,"Hiram Montecillo Juarez","atlantean-mermail-594708",627.18,"ycs-mexico-city-2972",5,0
"189","Mermail",11,"Cristian Urena","atlantean-mermail-595695",759.76,"ycs-mexico-city-2972",5,0
"190","Mermail",26,"Kamal Crooks-Valdez","atlantean-mermail-544943",996.25,"na-remote-duel-ycs-2385",5,0
"191","Mermail",52,"Manuel Scharfegger","atlantean-mermail-548094",981.56,"ycs-bologna-2407",5,0
"192","Mermail",42,"Stephen Klaus","atlantean-mermail-564442",846.23,"ycs-orlando-2684",5,0
"193","Mermail",1,"Luca Daniel Garcia Gonzalez","atlantean-mermail-586777",504.75,"ycs-buenos-aires-2891",5,0
"194","Mermail",19,"Kamal Crooks-Valdez","atlantean-mermail-544946",1000.38,"ycs-guayaquil-2362",5,0
"195","Mermail",3,"Aditya Dharap","atlantean-mermail-588733",511.24,"ycs-houston-2930",5,0
"196","Mitsurugi",9,"Konrad Müller","ryzeal-dogmatika-mitsurugi-568374",833.46,"ycs-birmingham-2704",4,0
"197","Mitsurugi",34,"David Atienza","ryzeal-dogmatika-mitsurugi-568372",840.99,"ycs-birmingham-2704",4,0
"198","Mitsurugi",13,"Zhouran Liu","",NA,"ycs-sydney-2783",4,0
"199","Mitsurugi",46,"Jordan Gallacher","ryzeal-mitsurugi-567697",976.46,"ycs-birmingham-2704",4,0
"200","Mitsurugi",19,"Edson Corser","ryzeal-mitsurugi-576151",828.49,"ycs-sydney-2783",4,0
