"","X","id","name","copies","deck_part","deck_id","archetype"
"160",0,706925,"Atlantean Marksman",1,2,"atlantean-mermail-548352","Mermail"
"161",1,37104630,"Atlantean Heavy Infantry",1,2,"atlantean-mermail-548352","Mermail"
"162",2,91800273,"Dimension Shifter",1,2,"atlantean-mermail-548352","Mermail"
"163",3,14558128,"Ash Blossom & Joyous Spring",3,2,"atlantean-mermail-548352","Mermail"
"164",4,94145021,"Droll & Lock Bird",1,2,"atlantean-mermail-548352","Mermail"
"165",5,27204311,"Nibiru, the Primal Being",1,2,"atlantean-mermail-548352","Mermail"
"166",6,24224830,"Called by the Grave",1,2,"atlantean-mermail-548352","Mermail"
"167",7,8267140,"Cosmic Cyclone",3,2,"atlantean-mermail-548352","Mermail"
"168",8,65681983,"Crossout Designator",3,2,"atlantean-mermail-548352","Mermail"
"169",0,17080584,"Abyssrhine, the Atlantean Spirit",1,0,"atlantean-mermail-564442","Mermail"
"170",1,21565445,"Neptabyss, the Atlantean Prince",3,0,"atlantean-mermail-564442","Mermail"
"171",2,58471134,"Mermail Abysspike",1,0,"atlantean-mermail-564442","Mermail"
"172",3,22446869,"Mermail Abyssteus",3,0,"atlantean-mermail-564442","Mermail"
"173",4,74311226,"Atlantean Dragoons",3,0,"atlantean-mermail-564442","Mermail"
"174",5,99193444,"Poseidra, the Storming Atlantean",2,0,"atlantean-mermail-564442","Mermail"
"175",6,53085623,"Mermail Shadow Squad",3,0,"atlantean-mermail-564442","Mermail"
"176",7,37104630,"Atlantean Heavy Infantry",1,0,"atlantean-mermail-564442","Mermail"
"177",8,13959634,"Moulinglacia the Elemental Lord",1,0,"atlantean-mermail-564442","Mermail"
"178",9,78868119,"Deep Sea Diva",2,0,"atlantean-mermail-564442","Mermail"
"179",10,71978434,"Deep Sea Minstrel",1,0,"atlantean-mermail-564442","Mermail"
"180",11,10963799,"Barrier Statue of the Torrent",1,0,"atlantean-mermail-564442","Mermail"
"181",12,42141493,"Mulcharmy Fuwalos",3,0,"atlantean-mermail-564442","Mermail"
"182",13,84192580,"Mulcharmy Purulia",3,0,"atlantean-mermail-564442","Mermail"
"183",14,14558128,"Ash Blossom & Joyous Spring",3,0,"atlantean-mermail-564442","Mermail"
"184",15,72060415,"Deep Sea Aria",2,0,"atlantean-mermail-564442","Mermail"
"185",16,81878201,"Abyss-sting Triaina",1,0,"atlantean-mermail-564442","Mermail"
"186",17,24299458,"Forbidden Droplet",3,0,"atlantean-mermail-564442","Mermail"
"187",18,2295440,"One for One",1,0,"atlantean-mermail-564442","Mermail"
"188",19,10045474,"Infinite Impermanence",3,0,"atlantean-mermail-564442","Mermail"
"189",0,60517697,"Poseidra Abyss, the Atlantean Dragon Lord",1,1,"atlantean-mermail-564442","Mermail"
"190",1,74371660,"Mermail Abyssgaios",1,1,"atlantean-mermail-564442","Mermail"
"191",2,9453320,"Abysstrite, the Atlantean Spirit",1,1,"atlantean-mermail-564442","Mermail"
"192",3,440556,"Bahamut Shark",2,1,"atlantean-mermail-564442","Mermail"
"193",4,90809975,"Toadally Awesome",2,1,"atlantean-mermail-564442","Mermail"
"194",5,21044178,"Abyss Dweller",1,1,"atlantean-mermail-564442","Mermail"
"195",6,60303245,"Salamangreat Almiraj",1,1,"atlantean-mermail-564442","Mermail"
"196",7,45112597,"Worldsea Dragon Zealantis",1,1,"atlantean-mermail-564442","Mermail"
"197",8,79130389,"Marincess Coral Anemone",1,1,"atlantean-mermail-564442","Mermail"
"198",9,23545031,"Mermail Abyssalacia",1,1,"atlantean-mermail-564442","Mermail"
"199",10,69385019,"Mermail King - Neptabyss",1,1,"atlantean-mermail-564442","Mermail"
"200",11,50793215,"Deep Sea Prima Donna",1,1,"atlantean-mermail-564442","Mermail"
"201",12,39964797,"Crystron Quandax",1,1,"atlantean-mermail-564442","Mermail"
"202",0,34267821,"Artifact Lancea",3,2,"atlantean-mermail-564442","Mermail"
"203",1,87126721,"Mulcharmy Meowls",3,2,"atlantean-mermail-564442","Mermail"
"204",2,71978434,"Deep Sea Minstrel",2,2,"atlantean-mermail-564442","Mermail"
"205",3,78610936,"Xyz Encore",3,2,"atlantean-mermail-564442","Mermail"
"206",4,24224830,"Called by the Grave",1,2,"atlantean-mermail-564442","Mermail"
"207",5,40366667,"Dominus Impulse",3,2,"atlantean-mermail-564442","Mermail"
"208",0,78868119,"Deep Sea Diva",1,0,"atlantean-mermail-565057","Mermail"
"209",1,53085623,"Mermail Shadow Squad",3,0,"atlantean-mermail-565057","Mermail"
"210",2,21565445,"Neptabyss, the Atlantean Prince",3,0,"atlantean-mermail-565057","Mermail"
"211",3,74311226,"Atlantean Dragoons",3,0,"atlantean-mermail-565057","Mermail"
"212",4,99193444,"Poseidra, the Storming Atlantean",2,0,"atlantean-mermail-565057","Mermail"
"213",5,22446869,"Mermail Abyssteus",3,0,"atlantean-mermail-565057","Mermail"
"214",6,17080584,"Abyssrhine, the Atlantean Spirit",2,0,"atlantean-mermail-565057","Mermail"
"215",7,58471134,"Mermail Abysspike",1,0,"atlantean-mermail-565057","Mermail"
"216",8,37104630,"Atlantean Heavy Infantry",1,0,"atlantean-mermail-565057","Mermail"
"217",9,71978434,"Deep Sea Minstrel",1,0,"atlantean-mermail-565057","Mermail"
"218",10,13959634,"Moulinglacia the Elemental Lord",1,0,"atlantean-mermail-565057","Mermail"
