,id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
135,357,Bulgaria National Championship 2023,Bulgaria,2023-05-20,Viktor Yordanov,TCG,bulgaria-national-championship-2023-357,154,0
136,356,Croatia National Championship 2023,Croatia,2023-05-20,Luka Forjan,TCG,croatia-national-championship-2023-356,192,0
137,350,Victoria State Championship 2023,Australia,2023-05-20,Zhenghao Shi,TCG,victoria-state-championship-2023-350,129,0
138,346,Bolivia National Championship 2023,Bolivia,2023-05-14,Eddie Alba,TCG,bolivia-national-championship-2023-346,200,1
139,332,Greece National Championship 2023,Greece,2023-05-14,Christos Mourikis,TCG,greece-national-championship-2023-332,232,0
140,328,Brazil National Championship 2023,Brazil,2023-05-14,Leonardo Martins,TCG,brazil-national-championship-2023-328,700,1
141,324,Sweden National Championship 2023,Sweden,2023-05-14,Loa Strandberg,TCG,sweden-national-championship-2023-324,88,0
142,326,Switzerland National Championship 2023,Switzerland,2023-05-13,Jeremy Bays,TCG,switzerland-national-championship-2023-326,309,0
143,322,Israel National Championship 2023,Israel,2023-05-09,Gal Sonnenfeld,TCG,israel-national-championship-2023-322,124,0
144,342,Costa Rica National Championship 2023,Costa Rica,2023-05-07,Kevin Martinez,TCG,costa-rica-national-championship-2023-342,400,0
145,341,Guatemala National Championship 2023,Guatemala,2023-05-07,Sebastian Muralles Quezada,TCG,guatemala-national-championship-2023-341,180,0
146,340,El Salvador National Championship 2023,El Salvador,2023-05-07,Wilfredo Avelenda,TCG,el-salvador-national-championship-2023-340,196,0
147,311,Ireland National Championship 2023,Ireland,2023-05-07,Luke Smythe,TCG,ireland-national-championship-2023-311,206,0
148,310,Portugal National Championship 2023,Portugal,2023-05-06,Adrián Quintás,TCG,portugal-national-championship-2023-310,152,0
149,221,YCS Bogota,Colombia,2023-04-01,Esteban Velásquez,TCG,ycs-bogota-221,1126,0
150,220,YCS Los Angeles,United States,2023-04-01,Paulie Aronson,TCG,ycs-los-angeles-220,3225,0
151,219,YCS London,United Kingdom,2023-04-01,Samir Bachar,TCG,ycs-london-219,3600,0
152,190,YCS Lima,Peru,2023-03-12,Jhon Guerrero,TCG,ycs-lima-190,600,0
153,161,Team YCS Vegas,United States,2023-02-18,Dominic Couch,TCG,team-ycs-vegas-161,1155,0
154,155,YCS Lyon,France,2023-02-12,Chris LeBlanc,TCG,ycs-lyon-155,2397,0
155,157,Team YCS Mexico City,Mexico,2023-02-11,Donnel Fan Club,TCG,team-ycs-mexico-city-157,1008,0
156,124,LATAM Remote Duel YCS,Brazil,2023-01-22,Jhon David Guerrero Sanchez,TCG,latam-remote-duel-ycs-124,378,0
157,100,YCS Sydney,Australia,2023-01-08,Jesse Kotton,TCG,ycs-sydney-100,751,0
